yatstats overall rank everybody,hsid,hsname,hsname.1,location,city,regionname,nickname,alumni listed,Drafted from School,Total Draft Picks,Major Leaguers,Active Players 2024-2025
1612,7927,Tallmadge,Tallmadge,"Tallmadge,OH","Tallmadge,OH",Ohio,Blue Devils,35,1,7,0,11
1613,5257,Hudson,Hudson,"Hudson,OH","Hudson,OH",Ohio,Explorers,35,0,4,0,11
1614,1394,Lee's Summit,Lee's Summit,"Lee's Summit,MO","Lee's Summit,MO",Missouri,Tigers,34,7,12,0,11
1615,6499,Norcross,Norcross,"Atlanta,GA","Atlanta,GA",Georgia,Blue Devils,34,4,9,0,11
1616,4907,Grand Ledge,Grand Ledge,"Grand Ledge,MI","Grand Ledge,MI",Michigan,Comets,34,2,5,0,11
1617,2770,Norwalk,Norwalk,"Norwalk,CT","Norwalk,CT",Connecticut,Bears,33,2,7,0,11
1618,9463,The Beacon School,The Beacon School,"New York,NY","New York,NY",New York,Bulldogs,33,1,5,0,11
1619,3686,Cathedral Prep,Cathedral Prep,"Erie,PA","Erie,PA",Pennsylvania,Ramblers,33,3,4,0,11
1620,9779,Skutt Catholic,Skutt Catholic,"Omaha,NE","Omaha,NE",Nebraska,SkyHawks,33,0,3,0,11
1621,10769,Daniel Hand,Daniel Hand,"Madison,CT","Madison,CT",Connecticut,Tigers,32,0,4,0,11
1622,8060,Trinity Christian Academy,Trinity Christian Academy,"Lake Worth,FL","Lake Worth,FL",Florida,Warriors,30,10,12,0,11
1623,1574,Assumption,Assumption,"Davenport,IA","Davenport,IA",Iowa,Knights,30,3,10,0,11
1624,7887,Sunnyslope,Sunnyslope,"Phoenix,AZ","Phoenix,AZ",Arizona,Vikings,30,4,9,0,11
1625,3198,Barnstable,Barnstable,"Hyannis,MA","Hyannis,MA",Massachusetts,Red Raiders,30,0,8,0,11
1626,3308,Bethlehem Central,Bethlehem Central,"Delmar,NY","Delmar,NY",New York,Eagles,30,3,5,0,11
1627,4443,Eastside,Eastside,"Taylors,SC","Taylors,SC",South Carolina,Eagles,29,3,9,0,11
1628,5213,Holy Spirit,Holy Spirit,"Point Pleasant,NJ","Point Pleasant,NJ",New Jersey,Spartans,29,1,5,0,11
1629,15116,College Station,College Station,"College Station,TX","College Station,TX",Texas,Cougars,29,1,0,0,11
1630,6205,Miller Place,Miller Place,"Miller Place,NY","Miller Place,NY",New York,Panthers,28,2,5,0,11
1631,7974,Thayer Academy,Thayer Academy,"Braintree,MA","Braintree,MA",Massachusetts,Tigers,28,2,3,0,11
1632,9313,Conant,Conant,"Hoffman Estates,IL","Hoffman Estates,IL",Illinois,Cougars,28,1,2,0,11
1633,1601,Charles E. Jordan,Charles E. Jordan,"Durham,NC","Durham,NC",North Carolina,Falcons,27,2,4,0,11
1634,1533,Brunswick,Brunswick,"Brunswick,OH","Brunswick,OH",Ohio,Blue Devils,27,0,3,0,11
1635,4447,Eaton,Eaton,"Eaton,CO","Eaton,CO",Colorado,Eaton,26,8,9,0,11
1636,1385,Beech,Beech,"Hendersonville,TN","Hendersonville,TN",Tennessee,Buccaneers,26,6,6,0,11
1637,8627,Yorktown,Yorktown,"Arlington,VA","Arlington,VA",Virginia,Patriots,26,2,6,0,11
1638,2914,Churchill,Churchill,"Eugene,OR","Eugene,OR",Oregon,Lancers,26,3,4,0,11
1639,9369,Osbourn Park,Osbourn Park,"Manassas,VA","Manassas,VA",Virginia,Yellowjackets,26,0,2,0,11
1640,8378,West Bloomfield,West Bloomfield,"West Bloomfield,MI","West Bloomfield,MI",Michigan,Lakers,25,2,7,0,11
1641,9698,Smiths Station,Smiths Station,"Smiths Station,AL","Smiths Station,AL",Alabama,Panthers,25,1,3,0,11
1642,3388,Boiling Springs,Boiling Springs,"Spartanburg,SC","Spartanburg,SC",South Carolina,Bulldogs,25,0,2,0,11
1643,10544,Stephen Decatur,Stephen Decatur,"Berlin,MD","Berlin,MD",Maryland,Seahawks,25,0,2,0,11
1644,8935,Norman North,Norman North,"Norman,OK","Norman,OK",Oklahoma,Timberwolves,24,1,4,0,11
1645,12501,Ocean City,Ocean City,"Ocean City,NJ","Ocean City,NJ",New Jersey,Raiders,24,2,3,0,11
1646,3583,Cambridge,Cambridge,"Milton,GA","Milton,GA",Georgia,Bears,24,0,2,0,11
1647,1537,South Brunswick,South Brunswick,"Monmouth Junction,NJ","Monmouth Junction,NJ",New Jersey,Vikings,24,0,0,0,11
1648,5538,The Kinkaid School,The Kinkaid School,"Houston,TX","Houston,TX",Texas,Falcons,23,1,6,0,11
1649,576,Aiea,Aiea,"Honolulu,HI","Honolulu,HI",Hawaii,-,23,4,5,0,11
1650,6213,Milton Academy,Milton Academy,"Hingham,MA","Hingham,MA",Massachusetts,Mustangs,23,1,3,0,11
1651,4098,Crescent Valley,Crescent Valley,"Corvallis,OR","Corvallis,OR",Oregon,Raiders,22,2,4,0,11
1652,7172,Rock Bridge,Rock Bridge,"Columbia,MO","Columbia,MO",Missouri,Bruins,22,0,3,0,11
1653,15594,James Clemens,James Clemens,"Madison,AL","Madison,AL",Alabama,Jets,22,1,1,0,11
1654,7095,Richmond Hill,Richmond Hill,"Richmond Hill,GA","Richmond Hill,GA",Georgia,Wildcats,21,3,7,0,11
1655,5739,Leominster,Leominster,"Leominster,MA","Leominster,MA",Massachusetts,Blue Devils,21,0,3,0,11
1656,3335,Bishop Guertin,Bishop Guertin,"Nashua,NH","Nashua,NH",New Hampshire,Cardinals,21,1,2,0,11
1657,8723,Bonney Lake,Bonney Lake,"Bonney Lake,WA","Bonney Lake,WA",Washington,Panthers,21,1,2,0,11
1658,9522,Somerset Academy,Somerset Academy,"Pembroke Pines,FL","Pembroke Pines,FL",Florida,Panthers,21,0,2,0,11
1659,1644,Sylvania Northview,Sylvania Northview,"Sylvania,OH","Sylvania,OH",Ohio,Wildcats,21,1,1,0,11
1660,3146,Aurora,Aurora,"Aurora,OH","Aurora,OH",Ohio,Greenmen,21,0,1,0,11
1661,9990,Stoney Creek,Stoney Creek,"Oakland,MI","Oakland,MI",Michigan,Cougars,21,0,1,0,11
1662,14445,Yorba Linda,Yorba Linda,"Yorba Linda,CA","Yorba Linda,CA",California,Mustangs,21,0,1,0,11
1663,11418,Wyoming Area,Wyoming Area,"Wyoming,PA","Wyoming,PA",Pennsylvania,Warriors,20,2,2,0,11
1664,7727,St. John's,St. John's,"Houston,TX","Houston,TX",Texas,Mavericks,20,0,2,0,11
1665,14557,St. Joseph-Ogden,St. Joseph-Ogden,"St. Joseph,IL","St. Joseph,IL",Illinois,Spartans,20,1,1,0,11
1666,12503,Riverbend,Riverbend,"Spotsylvania,VA","Spotsylvania,VA",Virginia,Bears,20,0,0,0,11
1667,6533,North County,North County,"Glen Burnie,MD","Glen Burnie,MD",Maryland,Knights,19,2,3,0,11
1668,2477,Valley View,Valley View,"Jonesboro,AR","Jonesboro,AR",Arkansas,Blazers,19,1,1,0,11
1669,8709,Maryville,Maryville,"Maryville,TN","Maryville,TN",Tennessee,Rebels,19,0,1,0,11
1670,1049,Mountain View,Mountain View,"Meridian,ID","Meridian,ID",Idaho,Mavericks,19,0,1,0,11
1671,8788,Northern Guilford,Northern Guilford,"Greensboro,NC","Greensboro,NC",North Carolina,Nighthawks,19,0,1,0,11
1672,10672,The Rivers School,The Rivers School,"Weston,MA","Weston,MA",Massachusetts,Red Wings,19,0,0,0,11
1673,10748,James Campbell,James Campbell,"Ewa Beach,HI","Ewa Beach,HI",Hawaii,Sabers,18,4,5,0,11
1674,12415,Delaware Military Academy,Delaware Military Academy,"Newport,DE","Newport,DE",Delaware,Seahawks,18,1,1,0,11
1675,3232,Bear Creek,Bear Creek,"Stockton,CA","Stockton,CA",California,Bruins,18,0,1,0,11
1676,9011,Briar Woods,Briar Woods,"Ashburn,VA","Ashburn,VA",Virginia,Falcons,18,0,0,0,11
