hsid,hsname,hslocation,cityname,regionname,regionid,nickname,color1,color2,color3
12089,Brownell,"Brownell,KS",Brownell,Kansas,KS,-,-,-,
12090,Roosevelt,"Dayton,OH",Dayton,Ohio,OH,-,,,
12091,Addison,"Roanoke,VA",Roanoke,Virginia,VA,-,-,-,
12094,Villanova Prep,"Ojai,CA",Ojai,California,CA,Wildcats,navy,white,
12095,Columbus South,"Columbus,OH",Columbus,Ohio,OH,Bulldogs,blue,gray,
12096,South Grenville District,"Prescott,ON",Prescott,Ontario,ON,Giants,,,
12097,Meeker,"Meeker,OK",Meeker,Oklahoma,OK,Bulldogs,,,
12098,Midway,"Hewitt,TX",Hewitt,Texas,TX,Eagles,,,
12101,Elmira District,"Elmira,ON",Elmira,Ontario,ON,Lancers,,,
12102,Salida,"Salida,CO",Salida,Colorado,CO,Spartans,purple,white,black
12104,Montvale,"Montvale,VA",Montvale,Virginia,VA,-,,,
12105,St. James,"Grand Forks,ND",Grand Forks,North Dakota,ND,-,,,
12106,Herminston,"Herminston,OR",Herminston,Oregon,OR,Bulldogs,,,
12108,Mableton Christian Academy,"Mableton,GA",Mableton,Georgia,GA,-,,,
12109,Washington,"Indianapolis,IN",Indianapolis,Indiana,IN,Continentals,,,
12110,Central,"Oklahoma City,OK",Oklahoma City,Oklahoma,OK,-,-,-,
12112,West Columbia,"West Columbia,SC",West Columbia,South Carolina,SC,-,,,
12114,Ursinus,"Ursinus,PA",Ursinus,Pennsylvania,PA,-,,,
12115,Portland Christian,"Portland,OR",Portland,Oregon,OR,Royals,purple,gold,
12116,Murray,"St. Paul,MN",St. Paul,Minnesota,MN,-,,,
12117,Hirsch,"Chicago,IL",Chicago,Illinois,IL,Huskies,maroon,white,
12119,White Plains,"White Plains,NY",White Plains,New York,NY,Tigers,orange,black,
12120,York,"York,NE",York,Nebraska,NE,Dukes,,,
12121,Juneau,"Juneau,WI",Juneau,Wisconsin,WI,-,-,-,
12122,Notre Dame,"Lawrenceville,NJ",Lawrenceville,New Jersey,NJ,Irish,,,
12124,John Marshall,"Rochester,NY",Rochester,New York,NY,Jurists,blue,orange,
12125,Crockett,"San Francisco,CA",San Francisco,California,CA,-,-,-,
12128,Amelia County,"Amelia,VA",Amelia,Virginia,VA,Raiders,green,gold,
12130,Woodberry Forest,"Woodberry Forest,VA",Woodberry Forest,Virginia,VA,Tigers,black,orange,
12131,Ridge View,"Columbia,SC",Columbia,South Carolina,SC,Blazers,,,
12133,Milton Hershey for Orphans,"Hershey,PA",Hershey,Pennsylvania,PA,-,,,
12134,Bagley,"Bagley,WI",Bagley,Wisconsin,WI,-,-,-,
12135,Des Moines,"Des Moines,IA",Des Moines,Iowa,IA,-,-,-,
12136,Columbus Central,"Columbus,OH",Columbus,Ohio,OH,-,-,-,
12137,Evans City,"Evans City,PA",Evans City,Pennsylvania,PA,-,-,-,
12138,Brunswick,"Brunswick,MO",Brunswick,Missouri,MO,-,-,-,
12139,Ravia,"Ravia,OK",Ravia,Oklahoma,OK,Cougars,,,
12142,Manual,"Denver,CO",Denver,Colorado,CO,Thunderbolts,blue,red,white
12144,West Central School of Agriculture,"Morris,MN",Morris,Minnesota,MN,-,-,-,
12145,Struthers,"Struthers,OH",Struthers,Ohio,OH,Wildcats,black,red,
